record_id,county_id,county_building_use_code,county_building_use_description,generic_building_use_1,building_type_id,building_type_name,record_count
1,33,102,"Barn, General Purpose (102)",8,1, agriculture,1
2,33,113,Loafing Shed (113),8,1, agriculture,6
3,33,305,BARN (305),8,1, agriculture,35
4,33,315,CREAMERY (315),8,1, agriculture,4
5,33,316,DAIRY (316),8,1, agriculture,14
6,33,378,STABLE (378),8,1, agriculture,34
7,33,477,FARM UTILITY BUILDING (477),8,1, agriculture,41
8,33,479,Farm Utility Storage Shed (479),8,1, agriculture,2
9,33,Barn,COMMERCIAL,8,1, agriculture,8
10,33,"Barn, Hog",COMMERCIAL,8,1, agriculture,1
11,33,"Barn, Sheep",COMMERCIAL,8,1, agriculture,1
12,33,"Cold Storage, Farm",COMMERCIAL,8,1, agriculture,2
13,33,Farm Implement Building,COMMERCIAL,8,1, agriculture,1
14,33,Farm Sun Shade Shelter,COMMERCIAL,8,1, agriculture,1
15,33,Farm Utility Storage Shed,COMMERCIAL,8,1, agriculture,1
16,33,Milkhouse,COMMERCIAL,8,1, agriculture,1
17,33,316,Dairy Milking Parlor,8,1, agriculture,5
18,33,378,Stable,8,1, agriculture,440
19,33,397,Barn,8,1, agriculture,1660
20,33,398,Shed - Hay,8,1, agriculture,2
21,33,399,Shed - Sheep,8,1, agriculture,1
22,33,400,Shed - Poultry,8,1, agriculture,19
23,33,401,Shed - Equipment,8,1, agriculture,5
24,33,402,Shed - Cattle,8,1, agriculture,1
25,33,428,Horse Arena,8,1, agriculture,169
26,33,430,Farm Utility Building,8,1, agriculture,8
27,33,478,Farm Utility Loafing Shed,8,1, agriculture,9
28,33,479,Farm Utility Storage - Loafing,8,1, agriculture,1
29,33,959,Agricultural,8,1, agriculture,262
30,33,1101,Barns (Two-Story) - Special Purpose,8,1, agriculture,1
31,33,1440,Milkhouse,8,1, agriculture,2
32,33,173,Church Educational Wing (173),7,2, civic,42
33,33,301,ARMORY (301),7,2, civic,3
34,33,302,AUDITORIUM (302),7,2, civic,103
35,33,308,CHURCH WITH SUNDAY SCHOOL (308),7,2, civic,153
36,33,309,CHURCH (309),7,2, civic,1106
37,33,473,Material Shelter (473),7,2, civic,18
38,33,481,MUSEUM (481),7,2, civic,44
39,33,482,CONVENTION CENTER (482),7,2, civic,11
40,33,514,Community Center (514),7,2, civic,36
41,33,537,Lodge (537),7,2, civic,2
42,33,574,VISITOR CENTER (574),7,2, civic,12
43,33,985,Senior Center (985),7,2, civic,4
44,33,Armory,COMMERCIAL,7,2, civic,2
45,33,Auditorium,COMMERCIAL,7,2, civic,3
46,33,Church,COMMERCIAL,7,2, civic,179
47,33,Church w/ Sunday School,COMMERCIAL,7,2, civic,16
48,33,Community Center,COMMERCIAL,7,2, civic,21
49,33,Convention Center,COMMERCIAL,7,2, civic,3
50,33,Fellowship Hall,COMMERCIAL,7,2, civic,4
51,33,Field Houses,COMMERCIAL,7,2, civic,3
52,33,Fraternal Building,COMMERCIAL,7,2, civic,7
53,33,Library or Museum,COMMERCIAL,7,2, civic,10
54,33,Lodge,COMMERCIAL,7,2, civic,15
55,33,Museum,COMMERCIAL,7,2, civic,3
56,33,Rectory,COMMERCIAL,7,2, civic,3
57,33,Visitor Center,COMMERCIAL,7,2, civic,1
58,33,309,Church,7,2, civic,18
59,33,323,Fraternal Building,7,2, civic,3
60,33,348,Rectory,7,2, civic,2
61,33,514,Community Recreation Center,7,2, civic,4
62,33,516,Fellowship Halls,7,2, civic,1
63,33,954,Religious Service,7,2, civic,641
64,33,CHURCH,Church,7,2, civic,429
65,33,FLWSHP,Fellowship Hall,7,2, civic,8
66,33,FRATRNL,Fraternal Building,7,2, civic,1
67,33,MUSEUM,Museum,7,2, civic,3
68,33,SCCLUB,Senior Clubhouse Center,7,2, civic,1
69,33,SUNDSCHL,Church w/ Sunday School,7,2, civic,3
70,33,VISITOR,Visitor Center,7,2, civic,2
71,33,135,"Greenhouse, Hoop, Arch-Rib, Small (135)",4,3, commercial,3
72,33,141,"Greenhouse, Hoop, Arch-Rib, Medium (141)",4,3, commercial,11
73,33,303,AUTOMOBILE SHOWROOM (303),4,3, commercial,57
74,33,304,BANK (304),4,3, commercial,330
75,33,318,DEPARTMENT STORE (318),4,3, commercial,22
76,33,319,DISCOUNT STORE (319),4,3, commercial,202
77,33,320,DISPENSARY (320),4,3, commercial,3
78,33,332,"HOTEL, LIMITED (332)",4,3, commercial,85
79,33,336,LAUNDROMAT (336),4,3, commercial,43
80,33,340,MARKET (340),4,3, commercial,83
81,33,342,MORTUARY (342),4,3, commercial,44
82,33,343,"MOTEL, LIMITED (343)",4,3, commercial,142
83,33,349,FAST FOOD RESTAURANT (349),4,3, commercial,439
84,33,350,"RESTAURANT, TABLE SERVICE (350)",4,3, commercial,1097
85,33,353,RETAIL STORE (353),4,3, commercial,2799
86,33,384,BARBER SHOP (384),4,3, commercial,70
87,33,408,Service Station (408),4,3, commercial,5
88,33,410,AUTOMOTIVE CENTER (410),4,3, commercial,65
89,33,412,NEIGHBORHOOD SHOPPING CENTER (412),4,3, commercial,12
90,33,413,COMMUNITY SHOPPING CENTER (413),4,3, commercial,10
91,33,414,REGIONAL SHOPPING CENTER (414),4,3, commercial,9
92,33,419,CONVENIENCE MARKET (419),4,3, commercial,215
93,33,423,MINI-LUBE GARAGE (423),4,3, commercial,49
94,33,434,Car Wash - Self Serve (434),4,3, commercial,34
95,33,435,Car Wash - Drive Thru (435),4,3, commercial,37
96,33,436,Car Wash - Automatic (436),4,3, commercial,26
97,33,441,COCKTAIL LOUNGE (441),4,3, commercial,8
98,33,442,BAR/TAVERN (442),4,3, commercial,112
99,33,446,SUPERMARKET (446),4,3, commercial,138
100,33,455,"AUTO DEALERSHIP, COMPLETE (455)",4,3, commercial,96
101,33,458,WAREHOUSE DISCOUNT STORE (458),4,3, commercial,71
102,33,490,KENNELS (490),4,3, commercial,13
103,33,499,Dry Cleaners-Laundry (499),4,3, commercial,10
104,33,508,Car Wash - Canopy (508),4,3, commercial,3
105,33,511,Drug Store (511),4,3, commercial,18
106,33,513,Regional Discount Shopping Center (513),4,3, commercial,2
107,33,515,Casino (515),4,3, commercial,10
108,33,528,"GARAGE, SERVICE REPAIR (528)",4,3, commercial,1433
109,33,529,SNACK BAR (529),4,3, commercial,75
110,33,530,CAFETERIA (530),4,3, commercial,29
111,33,531,MINI-MART CONVENIENCE STORE (531),4,3, commercial,310
112,33,532,FLORIST SHOP (532),4,3, commercial,1
113,33,533,WAREHOUSE FOOD STORE (533),4,3, commercial,7
114,33,534,WAREHOUSE SHOWROOM STORE (534),4,3, commercial,64
115,33,578,Mini-Bank (578),4,3, commercial,1
116,33,594,"Hotel, Full Service (594)",4,3, commercial,15
117,33,595,"Hotel, Limited Service (595)",4,3, commercial,26
118,33,841,"HOTEL, FULL SERVICE (841)",4,3, commercial,104
119,33,842,"HOTEL, SUITE (842)",4,3, commercial,87
120,33,843,"MOTEL, FULL SERVICE (843)",4,3, commercial,5
121,33,844,"MOTEL, SUITE (844)",4,3, commercial,43
122,33,846,"CONDO, RETAIL (846)",4,3, commercial,108
123,33,853,"CONDO HOTEL, LIMITED SERVICE (853)",4,3, commercial,3
124,33,860,LINE RETAIL (860),4,3, commercial,788
125,33, ,COMMERCIAL,4,3, commercial,3505
126,33,Auto Service,COMMERCIAL,4,3, commercial,61
127,33,Auto Showroom,COMMERCIAL,4,3, commercial,19
128,33,Bank,COMMERCIAL,4,3, commercial,61
129,33,Bed & Breakfast Inn,COMMERCIAL,4,3, commercial,1
130,33,Bookstore - Schools,COMMERCIAL,4,3, commercial,1
131,33,Bowling Alley,COMMERCIAL,4,3, commercial,3
132,33,Car Wash Auto,COMMERCIAL,4,3, commercial,5
133,33,Car Wash Canopy,COMMERCIAL,4,3, commercial,2
134,33,"Car Wash, Drive-Thru",COMMERCIAL,4,3, commercial,5
135,33,"Car Wash, Self-Serve",COMMERCIAL,4,3, commercial,7
136,33,Casino,COMMERCIAL,4,3, commercial,1
137,33,Commercial Garage,COMMERCIAL,4,3, commercial,4
138,33,Community Shopping Center,COMMERCIAL,4,3, commercial,16
139,33,Complete Auto Dealership,COMMERCIAL,4,3, commercial,13
140,33,Convenience Market,COMMERCIAL,4,3, commercial,90
141,33,Department Store,COMMERCIAL,4,3, commercial,4
142,33,Dining/Lounge,COMMERCIAL,4,3, commercial,1
143,33,Discount,COMMERCIAL,4,3, commercial,26
144,33,Drugstore,COMMERCIAL,4,3, commercial,9
145,33,Fast Food Restaurant,COMMERCIAL,4,3, commercial,40
146,33,Fast Food Restaurant MSBB,COMMERCIAL,4,3, commercial,9
147,33,Fitness Center,COMMERCIAL,4,3, commercial,8
148,33,General Commercial,COMMERCIAL,4,3, commercial,42
149,33,General Retail,COMMERCIAL,4,3, commercial,448
150,33,Greenhouse Shade Shelter,COMMERCIAL,4,3, commercial,10
151,33,"Hotel, Limited Service",COMMERCIAL,4,3, commercial,1
152,33,Hotel/Motel Service,COMMERCIAL,4,3, commercial,3
153,33,Hotel/Motel Unit,COMMERCIAL,4,3, commercial,25
154,33,Kennel Animal Care,COMMERCIAL,4,3, commercial,5
155,33,Laundromat,COMMERCIAL,4,3, commercial,11
156,33,"Lumber Storage Bldg, Vertical",COMMERCIAL,4,3, commercial,3
157,33,"Lumber Storage Shed, Horiz.",COMMERCIAL,4,3, commercial,3
158,33,Market,COMMERCIAL,4,3, commercial,3
159,33,Mini-Lube Garage,COMMERCIAL,4,3, commercial,6
160,33,Mini-Mart Convenience Store,COMMERCIAL,4,3, commercial,1
161,33,Mortuary,COMMERCIAL,4,3, commercial,4
162,33,"Motel Room, 1 Sty-Single Row",COMMERCIAL,4,3, commercial,4
163,33,"Motel Room, 2 Sty-Single Row",COMMERCIAL,4,3, commercial,4
164,33,"Motel, Extended Stay",COMMERCIAL,4,3, commercial,1
165,33,Neighborhood Shopping Center,COMMERCIAL,4,3, commercial,39
166,33,Regional Shopping Center,COMMERCIAL,4,3, commercial,7
167,33,Resturant,COMMERCIAL,4,3, commercial,106
168,33,Service Garage,COMMERCIAL,4,3, commercial,98
169,33,Service Station with Bays,COMMERCIAL,4,3, commercial,1
170,33,Small Shop,COMMERCIAL,4,3, commercial,49
171,33,Snack Bar,COMMERCIAL,4,3, commercial,6
172,33,Supermarket,COMMERCIAL,4,3, commercial,19
173,33,Tavern/Bar,COMMERCIAL,4,3, commercial,30
174,33,Warehouse Discount Store,COMMERCIAL,4,3, commercial,7
175,33,Warehouse Showroom Store,COMMERCIAL,4,3, commercial,3
176,33,227,Complete Auto Dealership,4,3, commercial,1
177,33,228,Kennel,4,3, commercial,2
178,33,304,Bank,4,3, commercial,167
179,33,318,Department Store,4,3, commercial,1
180,33,319,Discount Store,4,3, commercial,8
181,33,325,Service Garage,4,3, commercial,16
182,33,326,Storage Garage,4,3, commercial,4
183,33,332,Hotel,4,3, commercial,3
184,33,342,Mortuary,4,3, commercial,1
185,33,343,Motel,4,3, commercial,1
186,33,350,Restaurant,4,3, commercial,5
187,33,408,Service Station,4,3, commercial,6
188,33,410,Automotive Center,4,3, commercial,3
189,33,419,Convenience Store,4,3, commercial,2
190,33,423,Mini Lube Garage,4,3, commercial,2
191,33,434,Car Wash - Self Service,4,3, commercial,1
192,33,442,Bar/Tavern,4,3, commercial,2
193,33,515,Casinos,4,3, commercial,1
194,33,529,Snack Bar,4,3, commercial,12
195,33,710,New Auto Dealer,4,3, commercial,110
196,33,730,Auto Related,4,3, commercial,823
197,33,740,Misc Services,4,3, commercial,248
198,33,760,Restaurant,4,3, commercial,539
199,33,761,Fast Food,4,3, commercial,169
200,33,770,Retail Stand Alone,4,3, commercial,1661
201,33,773,Strip/Flex,4,3, commercial,324
202,33,774,C-Store w/Gas,4,3, commercial,541
203,33,775,Big Box,4,3, commercial,104
204,33,870,Motel,4,3, commercial,154
205,33,871,Hotel Full Service,4,3, commercial,25
206,35,ANCHOR,Mall Anchor Department Store,4,3, commercial,3
207,35,AUTOSERV,Auto Service,4,3, commercial,168
208,35,AUTOSHOW,Auto Showroom,4,3, commercial,44
209,35,BANK,Bank,4,3, commercial,166
210,35,BARBER,Barber Shop,4,3, commercial,1
211,35,CARWASH,Car Wash Auto,4,3, commercial,16
212,35,COMBLDG,NA,4,3, commercial,117
213,35,COMGAR,Commercial Garage,4,3, commercial,394
214,35,COMSHOP,Community Shopping Center,4,3, commercial,15
215,35,CONVMRKT,Convenience Market,4,3, commercial,236
216,35,CWSLFSRV,"Car Wash, Self-Serve",4,3, commercial,2
217,35,DEPTSTOR,Department Store,4,3, commercial,11
218,35,DINING,Dining/Lounge,4,3, commercial,334
219,35,DISCOUNT,Discount,4,3, commercial,127
220,35,DRUGS,Drugstore,4,3, commercial,15
221,35,FASTFDMS,Fast Food Restaurant MSBB,4,3, commercial,17
222,35,FASTFOOD,Fast Food Restaurant,4,3, commercial,70
223,35,FUNEHOME,Funeral Home,4,3, commercial,10
224,35,GENRET,General Retail,4,3, commercial,1821
225,35,HOSERV,Hotel/Motel Service,4,3, commercial,32
226,35,HOUNIT,Hotel/Motel Unit,4,3, commercial,80
227,35,LAUNDRY,Laundromat,4,3, commercial,2
228,35,MARKET,Market,4,3, commercial,1
229,35,MORTUARY,NA,4,3, commercial,1
230,35,MOTEL1SR,"Motel Room, 1 Sty-Single Row",4,3, commercial,3
231,35,MOTELES,"Motel, Extended Stay",4,3, commercial,1
232,35,NBHSHOP,Neighborhood Shopping Center,4,3, commercial,51
233,35,REGDISC,Regional Discount Shopping Ctr,4,3, commercial,4
234,35,REGSHOP,Regional Shopping Center,4,3, commercial,44
235,35,RESTURNT,NA,4,3, commercial,7
236,35,SERVGAR,NA,4,3, commercial,38
237,35,SERVICE,Service Station,4,3, commercial,6
238,35,SERVICEB,Service Station with Bays,4,3, commercial,3
239,35,SMSHOP,Small Shop,4,3, commercial,50
240,35,SNACK,Snack Bar,4,3, commercial,1
241,35,SUPRMRKT,Supermarket,4,3, commercial,68
242,35,VETHOSP,NA,4,3, commercial,3
243,35,WHSSHOW,Warehouse Showroom Store,4,3, commercial,1
244,35,800,Condo Res,2,4, condo_residential,2760
245,35,Condo - Tenant,DWELLING,2,4, condo_residential,2
246,35,114,Condo - Separate Unit,2,4, condo_residential,1182
247,35,862,Condo Low Rise,2,4, condo_residential,3543
248,35,863,Condo High Rise,2,4, condo_residential,1105
249,35,864,Condo Apartment Low Rise,2,4, condo_residential,358
250,35,865,Condo Apartment High Rise,2,4, condo_residential,298
251,35,51,Condo - Owner,2,4, condo_residential,16150
252,35,52,Condo - Tenant,2,4, condo_residential,545
253,35,53,Condo - Other,2,4, condo_residential,15
254,35,322,FIRE STATION (STAFFED) (322),7,5, government,157
255,35,327,GOVERNMENT BUILDING (327),7,5, government,179
256,35,335,JAIL-CORRECTIONAL FACILITY (335),7,5, government,7
257,35,337,"LIBRARY, PUBLIC (337)",7,5, government,78
258,35,346,Post Office,7,5, government,1
259,35,427,FIRE STATION (VOLUNTEER) (427),7,5, government,18
260,35,489,JAIL - POLICE STATION (489),7,5, government,5
261,35,491,GOVERNMENT COMMUNITY SERVICE BUILDING (491),7,5, government,103
262,35,581,POST OFFICE - MAIN(581),7,5, government,6
263,35,582,POST OFFICE - BRANCH(582),7,5, government,27
